manifesto_country_code,manifesto_country_name,cow_ccode,cow_stateabb,cow_statenme,notes
11,Sweden,380,SWD,Sweden,
12,Norway,385,NOR,Norway,
13,Denmark,390,DEN,Denmark,
14,Finland,375,FIN,Finland,
15,Iceland,395,ICE,Iceland,
21,Belgium,211,BEL,Belgium,
22,Netherlands,210,NTH,Netherlands,
23,Luxembourg,212,LUX,Luxembourg,
31,France,220,FRN,France,
32,Italy,325,ITA,Italy,
33,Spain,230,SPN,Spain,
34,Greece,350,GRC,Greece,
35,Portugal,235,POR,Portugal,
41,Germany,255,GMY,Germany,
42,Austria,305,AUS,Austria,
43,Switzerland,225,SWZ,Switzerland,
51,Great Britain,200,UKG,United Kingdom,
52,Northern Ireland,200,UKG,United Kingdom,Northern Ireland is coded as part of the UK in COW (200).
53,Ireland,205,IRE,Ireland,
54,Malta,338,MLT,Malta,
55,Cyprus,352,CYP,Cyprus,
61,United States,2,USA,United States of America,
62,Canada,20,CAN,Canada,
63,Australia,900,AUL,Australia,
64,New Zealand,920,NEW,New Zealand,
71,Japan,740,JPN,Japan,
72,Israel,666,ISR,Israel,
73,Sri Lanka,780,SRI,Sri Lanka,
74,Turkey,640,TUR,Turkey,
75,Albania,339,ALB,Albania,
76,Armenia,371,ARM,Armenia,
77,Azerbaijan,373,AZE,Azerbaijan,
78,Belarus,370,BLR,Belarus,
79,Bosnia-Herzegovina,346,BOS,Bosnia and Herzegovina,
80,Bulgaria,355,BUL,Bulgaria,
81,Croatia,344,CRO,Croatia,
82,Czech Republic,316,CZR,Czech Republic,
83,Estonia,366,EST,Estonia,
84,Georgia,372,GRG,Georgia,
85,German Democratic Republic,265,GDR,German Democratic Republic,GDR is COW 265; unified Germany is COW 255.
86,Hungary,310,HUN,Hungary,
87,Latvia,367,LAT,Latvia,
88,Lithuania,368,LIT,Lithuania,
89,North Macedonia,343,MAC,Macedonia,
90,Moldova,359,MLD,Moldova,
91,Montenegro,341,MNG,Montenegro,
92,Poland,290,POL,Poland,
93,Romania,360,ROM,Romania,
94,Russia,365,RUS,Russia,
95,Serbia,340,SER,Serbia,
96,Slovakia,317,SLO,Slovakia,
97,Slovenia,349,SLV,Slovenia,
98,Ukraine,369,UKR,Ukraine,
113,South Korea,732,ROK,South Korea,
150,Argentina,160,ARG,Argentina,
151,Bolivia,145,BOL,Bolivia,
152,Colombia,100,COL,Colombia,
153,Costa Rica,94,COS,Costa Rica,
154,Ecuador,130,ECU,Ecuador,
155,Chile,155,CHL,Chile,
160,Panama,95,PAN,Panama,
162,Uruguay,165,URU,Uruguay,
168,Dominican Republic,42,DOM,Dominican Republic,
171,Mexico,70,MEX,Mexico,
179,Peru,135,PER,Peru,
180,Brazil,140,BRA,Brazil,
181,South Africa,560,SAF,South Africa,
