lag,coef,se,ci_lower,ci_upper,pval,n
0,0.15150739002950153,0.06837699381413771,0.017488482153791618,0.28552629790521145,0.02670756023406178,689
1,0.1555638326821285,0.07120010325857326,0.01601163029532493,0.2951160350689321,0.02889749068684156,675
2,0.16631075653528382,0.06981416860694221,0.029474986065677083,0.30314652700489053,0.017209920083775178,661
3,0.17094245343019185,0.07373935885273522,0.026413310078830826,0.3154715967815529,0.020438548530238833,646
4,0.1634344244970788,0.07422191402103848,0.017959473015843386,0.3089093759783142,0.02766743101563805,631
5,0.12482708396504044,0.07644241772864757,-0.025000054783108794,0.2746542227131897,0.10247830799159585,618
6,0.06603439593094551,0.07498932737808854,-0.08094468573010802,0.21301347759199904,0.37854306454182696,605
7,0.02208578635971208,0.07539714839374048,-0.12569262449201926,0.16986419721144344,0.7695787021076812,586
8,0.010130641417984629,0.07140795777538061,-0.12982895582176135,0.15009023865773063,0.8871827525358029,565
9,0.020106485467061543,0.06225850246606907,-0.10192017936643383,0.14213315030055693,0.7467318669420593,545
10,0.01960610676788006,0.052504039221316336,-0.08330181010589996,0.12251402364166009,0.7088351898671659,527
11,0.014201340150823728,0.04690971388424349,-0.0777416990622935,0.10614437936394097,0.7620897441988213,508
12,-0.010529382819197764,0.048718949378691145,-0.10601852360143241,0.08495975796303687,0.8288903148580249,491
13,0.008927458359213013,0.04529580737715284,-0.07985232410000653,0.09770724081843257,0.8437552484414521,470
14,0.012767484362357237,0.04768913995628956,-0.0807032299519703,0.10623819867668477,0.7889124678325887,444
15,0.07553576455479885,0.04585254118827328,-0.014335216174216778,0.1654067452838145,0.099483524056733,419
16,0.11848010284443873,0.06256775503292485,-0.004152697020093965,0.24111290270897143,0.058274298073433387,395
17,0.13179547673245756,0.07913115665438415,-0.023301590310135373,0.28689254377505047,0.09580665699651791,373
18,0.1364612397114136,0.07772943700786197,-0.015888456823995867,0.2888109362468231,0.07915796305035117,346
19,0.11884791055883034,0.056813376084792054,0.007493693432637921,0.23020212768502277,0.036447447726323634,318
20,0.0395162292809781,0.06539651810208748,-0.08866094619911334,0.16769340476106953,0.5456735477947463,296
